frame,pts_seconds,gray_mean,mean_absolute_difference
571,22.840,61.1163,5.3337
572,22.880,61.2127,4.8146
573,22.920,61.7944,4.0681
574,22.960,85.0101,59.8915
575,23.000,82.6237,9.5749
576,23.040,81.7967,6.5339
577,23.080,82.3353,4.9203
578,23.120,83.4573,5.3243
579,23.160,84.6965,5.1876
580,23.200,86.3385,5.1285
581,23.240,87.0931,4.5468
582,23.280,88.1191,3.6338
583,23.320,88.4691,5.4186
584,23.360,88.9616,5.3525
585,23.400,89.0640,4.2313
586,23.440,89.4900,2.8681
587,23.480,90.2883,4.4648
588,23.520,91.3205,7.4097
589,23.560,91.0696,8.7008
590,23.600,90.6965,8.4288
591,23.640,90.7874,8.4164
592,23.680,91.2138,7.3041
593,23.720,92.2788,6.5239
594,23.760,92.6767,5.6419
595,23.800,93.1968,4.8015
596,23.840,92.9940,3.6904
597,23.880,93.4227,3.9677
598,23.920,92.8217,3.8869
599,23.960,95.1903,6.6505
600,24.000,101.1026,11.3655
601,24.040,100.5202,9.3358
602,24.080,104.5984,10.9450
603,24.120,105.2463,9.5557
604,24.160,105.8510,8.1333
605,24.200,109.1853,9.0760
606,24.240,109.2338,6.2490
607,24.280,115.9480,9.3935
608,24.320,115.4491,6.3596
609,24.360,115.6476,4.7676
610,24.400,111.9375,7.0769
611,24.440,111.4303,6.9053
612,24.480,107.0460,8.1253
613,24.520,104.2422,11.4042
614,24.560,101.2199,12.0906
615,24.600,98.5828,11.1348
616,24.640,93.6894,11.1819
617,24.680,90.2444,9.8356
618,24.720,90.3051,11.2484
619,24.760,85.5783,11.0546
620,24.800,80.9666,9.2336
621,24.840,76.5975,8.3115
622,24.880,72.6797,11.6490
623,24.920,66.3644,16.1518
624,24.960,60.3146,19.8708
625,25.000,56.9958,22.2658
626,25.040,56.4328,18.4233
627,25.080,57.7651,17.0328
628,25.120,79.4678,29.8053
629,25.160,69.1783,25.9549
630,25.200,94.5472,64.7519
631,25.240,81.7492,15.2292
632,25.280,90.4762,14.3952
633,25.320,70.9396,23.9398
634,25.360,80.4446,34.1479
635,25.400,81.9232,38.8937
636,25.440,90.1536,8.8757
637,25.480,81.8819,8.9169
638,25.520,88.5558,7.0992
639,25.560,81.9633,7.1672
640,25.600,87.0005,5.6583
641,25.640,81.9853,5.7524
642,25.680,85.9786,4.6358
643,25.720,82.0208,4.6785
644,25.760,84.4805,3.0102
645,25.800,82.2254,3.3001
646,25.840,82.1357,0.8858
647,25.880,82.3076,0.8572
648,25.920,82.1033,1.9815
649,25.960,82.2706,1.6542
650,26.000,82.5562,1.8598
651,26.040,82.7770,1.8090
652,26.080,82.9038,1.7641
653,26.120,83.3941,2.3501
654,26.160,83.3760,2.0562
655,26.200,83.6149,2.2056
656,26.240,83.5658,2.0762
657,26.280,83.7708,2.2391
658,26.320,83.8781,1.7235
659,26.360,83.8494,2.2378
660,26.400,84.0111,2.2078
661,26.440,83.8556,2.4176
662,26.480,83.9833,2.0916
663,26.520,83.9540,1.9359
664,26.560,84.0972,1.8109
665,26.600,84.1572,2.0258
666,26.640,84.2710,0.9142
667,26.680,84.3907,1.3407
668,26.720,84.5029,1.1171
669,26.760,84.5730,0.8867
670,26.800,84.4953,1.2483
671,26.840,84.3767,1.8335
672,26.880,84.3733,1.4631
673,26.920,84.5102,1.6555
674,26.960,84.4812,1.9688
675,27.000,84.4964,1.2259
676,27.040,84.6009,1.1772
677,27.080,84.5711,1.0447
678,27.120,84.4322,0.6899
679,27.160,84.3994,0.5631
680,27.200,84.5074,1.0705
681,27.240,84.3599,1.7302
682,27.280,84.4109,1.4192
683,27.320,84.4117,1.7558
684,27.360,84.3521,1.5397
685,27.400,84.5387,1.7067
686,27.440,84.5565,0.6790
687,27.480,84.4851,0.7371
688,27.520,84.3749,1.7803
689,27.560,84.3985,1.4988
690,27.600,85.3963,2.6391
691,27.640,85.7368,1.8499
692,27.680,86.1575,2.1204
693,27.720,86.1547,1.3686
694,27.760,86.1484,0.8388
695,27.800,86.2707,1.2997
696,27.840,85.9972,2.2088
697,27.880,86.1223,1.5444
698,27.920,86.2165,1.9338
699,27.960,86.1709,1.8506
700,28.000,86.4302,2.0351
701,28.040,86.1999,1.9511
702,28.080,86.2803,1.7745
703,28.120,86.5170,2.0247
704,28.160,86.6831,1.9793
705,28.200,86.7306,1.9581
706,28.240,86.7843,1.1622
707,28.280,86.7514,1.2315
708,28.320,86.7504,0.8540
709,28.360,86.8281,1.1642
710,28.400,86.9560,1.2721
711,28.440,86.7926,1.9013
712,28.480,86.9961,2.0849
713,28.520,86.6579,2.1543
714,28.560,86.7903,2.1743
715,28.600,86.8492,1.4586
716,28.640,86.9637,1.5103
717,28.680,87.0035,1.2644
718,28.720,87.1667,0.5847
719,28.760,86.8553,1.3292
720,28.800,100.2115,36.9334
721,28.840,99.0432,5.5251
722,28.880,98.2352,5.6199
723,28.920,96.5358,6.7219
724,28.960,94.0903,8.8400
725,29.000,91.3206,10.1201
726,29.040,85.8103,11.1977
727,29.080,78.6387,11.5994
728,29.120,69.9978,13.5968
729,29.160,61.3729,15.4994
730,29.200,57.2545,16.5477
731,29.240,57.3061,15.4648
732,29.280,62.0278,18.2410
733,29.320,68.2933,19.9776
734,29.360,77.1083,23.8322
735,29.400,79.0551,19.8501
736,29.440,115.6003,70.1603
737,29.480,122.1457,29.6597
738,29.520,106.7214,34.4761
739,29.560,99.9998,18.6347
740,29.600,106.4217,21.1028
741,29.640,106.3779,25.5322
742,29.680,106.1003,23.9090
743,29.720,103.7044,21.6024
744,29.760,100.5176,15.9749
745,29.800,101.0931,11.9140
746,29.840,100.8830,11.1936
747,29.880,80.0789,52.5056
748,29.920,74.6396,32.7351
749,29.960,60.3621,26.9946
750,30.000,54.5278,17.7407
751,30.040,53.1508,12.2223
